p_val avg_log2FC pct.1 pct.2 p_val_adj gene
1.93863000625108e-05 0.369528053180944 0.133 0.092 0.520367066277915 THAP11
2.05813389834211e-05 0.389194378628629 0.144 0.095 0.552444300992988 FKBP11
2.06578894158633e-05 0.311693269124371 0.448 0.394 0.554499067700602 SPIB
2.11557542646147e-05 0.349408360025238 0.114 0.089 0.567862755970788 THAP4
2.14797956626522e-05 0.631751803594302 0.11 0.069 0.57656067517691 SLC52A2
2.37351625017961e-05 0.317330297778773 0.151 0.109 0.637099231873211 MGAT1
2.46577655048156e-05 0.38041812988756 0.117 0.078 0.661863741680262 COPG1
2.88078000777617e-05 0.303340144491777 0.191 0.139 0.773258969687279 IRF3
3.21242550915223e-05 0.283755567110154 0.1 0.072 0.862279255166642 RTL8C
3.28990709386511e-05 0.378097682251867 0.125 0.088 0.883076862135274 PFDN6
3.30382920862664e-05 0.251625764082003 0.104 0.065 0.886813836179564 AARS
3.43678371766927e-05 0.251640195826282 0.265 0.21 0.922501485496787 ATP5MC1
3.55037714288595e-05 0.428947383588157 0.139 0.098 0.952992232693445 MRPL51
3.83381778274372e-05 0.332008967481175 0.194 0.144 1 IRF2
4.13635552646953e-05 0.280673722134729 0.296 0.24 1 TOR3A
4.30942674491067e-05 0.251123523541621 0.182 0.14 1 DRAM1
5.11425059253169e-05 0.262145180136832 0.125 0.1 1 NMRAL1
5.16393735864694e-05 0.469890455557689 0.137 0.098 1 APOBEC3C
5.25341351822566e-05 0.259247532498125 0.315 0.254 1 POLR2E
5.43080726093185e-05 0.414016392555269 0.125 0.087 1 HYI
5.45883230291535e-05 0.610600151341143 0.124 0.08 1 GPR160
5.58647224804856e-05 0.282586102374378 0.119 0.086 1 DNASE2
5.58912109428389e-05 0.388375155666556 0.165 0.109 1 RGS1
5.75233778689144e-05 0.256552340874778 0.318 0.264 1 MMP24OS
5.91485342675772e-05 0.316018770376934 0.337 0.28 1 PDIA6
6.06889212645506e-05 0.388759204747789 0.115 0.079 1 FAM219B
6.10546789782625e-05 0.386387684830113 0.185 0.136 1 ANTKMT
6.39834978557643e-05 0.294542671459294 0.156 0.12 1 SHLD1
6.7794419068544e-05 0.349882843057296 0.151 0.112 1 YIF1A
7.23579521403042e-05 0.357090861314903 0.114 0.081 1 CDIPT
7.37655704048568e-05 0.258733661151584 0.241 0.201 1 DHPS
7.53515918783274e-05 0.398143042708164 0.183 0.133 1 LSM10
7.6478042730462e-05 0.285947850429653 0.183 0.135 1 ZNF280D
7.81046920106271e-05 0.297846648871293 0.153 0.113 1 WDR6
7.86371103263897e-05 0.310989662556053 0.276 0.217 1 LSM2
8.11964035827894e-05 0.439769234737128 0.106 0.077 1 MVD
8.20041884928641e-05 0.481190474662642 0.131 0.096 1 PRDX4
9.57086875800909e-05 0.29290707248453 0.269 0.226 1 STXBP2
0.000101003442175353 0.272731410250476 0.205 0.165 1 MEA1
0.000104586971726742 0.384754784069764 0.107 0.075 1 MRPS31
0.00010882950118205 0.26660195224454 0.128 0.098 1 TRADD
0.000111281198666198 0.325762125551603 0.119 0.087 1 C12orf10
0.000120513341462726 0.450773356659493 0.107 0.073 1 PDE6D
0.000124954514083111 0.346095381229975 0.235 0.188 1 CERS4
0.000128850380989187 0.3236428809755 0.159 0.127 1 NDUFB5
0.000134343182003252 0.329113912528452 0.483 0.412 1 NR4A2
0.000138554553129446 0.33297919965512 0.187 0.141 1 BEX2
0.000143805719705132 0.255865098933078 0.234 0.186 1 AKR1A1
0.000147113193305701 0.440263874296083 0.1 0.069 1 SLC39A1
0.000158531826686795 0.254518231340858 0.117 0.086 1 ICAM1
0.000186815335361007 0.968949111330547 0.185 0.153 1 IGLC2
0.000191554214792942 0.301257487299083 0.129 0.091 1 ARL16
0.000191824307274814 0.271102885544252 0.187 0.154 1 CAPN1
0.000193829513999165 0.345754182906869 0.107 0.075 1 RRP36
0.000198333827517827 0.271187782133728 0.113 0.083 1 RTN3
0.000199321444328833 0.324638887626095 0.188 0.146 1 DNPH1
0.000200805274593544 0.448543239391222 0.124 0.089 1 ABHD14A
0.000209292082038589 0.266425669409022 0.11 0.078 1 ATPAF1
0.000235378094487148 0.371330674421786 0.187 0.15 1 TSR3
0.000240914454052471 0.257815320742555 0.184 0.135 1 ZMYND8
0.000242355341449989 0.296597055205917 0.172 0.133 1 RABL6
0.000243871919464922 0.36777318695804 0.168 0.131 1 PSENEN
0.000244301326160141 0.25914683260438 0.256 0.215 1 DYNLRB1
0.000246665959238545 0.398022041599481 0.208 0.157 1 IDH3G
0.000257827401462419 0.285458718702548 0.27 0.227 1 DCXR
0.000263443340217606 0.320280864423421 0.112 0.078 1 PPT1
0.000264083828622523 0.276357981721471 0.142 0.106 1 EBAG9
0.000268975253285367 0.385721065249391 0.161 0.124 1 FASTK
0.000269758802453244 0.251162394290121 0.141 0.102 1 ACSF3
0.000305335423498304 2.3506316655301 0.234 0.217 1 IGKV4-1
0.00032074171347289 0.292300202777547 0.142 0.11 1 HINT2
0.000325349312274286 0.268727831377497 0.186 0.154 1 NELFE
0.000348391634301828 0.361568054393933 0.14 0.105 1 NDUFB3
0.000359649242715248 0.257647451129815 0.177 0.146 1 MRPS6
0.000361954758733354 0.305373944073255 0.109 0.082 1 SGK3
0.000393256064065556 0.456398253969319 0.102 0.066 1 VKORC1
0.000411057379268848 0.30318707724388 0.116 0.083 1 RAVER1
0.000423662876009201 0.447010231361278 0.112 0.085 1 SNX15
0.000431060977234142 0.398967962270128 0.158 0.117 1 APOBEC3G
0.000435168231003816 0.449829599803473 0.125 0.09 1 CXXC1
0.000447279377366463 0.451865267445407 0.121 0.083 1 EIF2AK4
0.000447398042714895 0.339569719975911 0.136 0.097 1 ATP13A1
0.000455775895714545 0.321797372254676 0.109 0.078 1 NXPE3
0.000470112682980812 0.293795598546875 0.222 0.174 1 NOSIP
0.00048151951874508 0.260239996668441 0.141 0.107 1 ASXL2
0.000511149595225136 0.326011579127473 0.114 0.084 1 ANKMY1
0.000535300803536224 0.286278028994224 0.202 0.167 1 MRPL4
0.000554377680040504 0.388409191874031 0.173 0.126 1 TMEM205
0.000613733748031862 0.269767477345363 0.165 0.122 1 POP5
0.000614986414194012 0.291471195678694 0.295 0.248 1 AP2M1
0.000638274013894814 0.269982836398164 0.144 0.116 1 MED16
0.00066957383525284 0.274469101971863 0.147 0.113 1 C11orf24
0.000701228632800389 0.285970297253969 0.158 0.12 1 ZNF217
0.000713246306521051 0.285204718319697 0.116 0.083 1 CEP128
0.000748802425069916 0.428684384244999 0.14 0.112 1 SLC35D2
0.000756640064369216 0.307914136179053 0.153 0.12 1 TWF2
0.00078468388901436 0.377775864208657 0.12 0.092 1 DHTKD1
0.000795373961485435 0.430505005876832 0.248 0.19 1 PIN1
0.000799580658872008 0.286666127571531 0.371 0.303 1 SSBP4
0.000805933338101698 0.270367109435706 0.143 0.104 1 AP001636.3
0.000838256747705056 0.252828807239446 0.126 0.096 1 ILK
0.000848880006836294 0.422746871630214 0.126 0.092 1 CDK4
0.000909476571982892 0.284326613619096 0.153 0.117 1 LINC00667
0.000931835922254613 0.42575945468168 0.11 0.082 1 NUDCD2
0.000945001929994049 0.385482158328472 0.135 0.094 1 HCP5
0.000973812574116795 0.407397749870272 0.144 0.102 1 MBD1
0.000992324661074322 0.334332210009515 0.116 0.09 1 MITD1
0.00102748785389125 0.295665475619677 0.117 0.086 1 CDC25B
0.00103606700624239 0.296028714068962 0.122 0.108 1 WDR34
0.0010385415386603 0.342138454510923 0.114 0.085 1 APEH
0.00103860966457563 0.326358523097411 0.224 0.178 1 TMEM147
0.00105545531398006 0.381096605574482 0.118 0.092 1 ACD
0.00105673435418623 0.507878953051545 0.126 0.092 1 TPST2
0.00107625132318132 0.33593897469716 0.118 0.089 1 AL392172.1
0.001106329031803 0.29379669096821 0.113 0.082 1 AC010226.1
0.00113346993547708 0.308437078163346 0.107 0.082 1 ACAA2
0.00117245372109324 0.272242787450354 0.111 0.073 1 CHID1
0.00120430665307339 0.334664944727992 0.104 0.086 1 SAMM50
0.00120977802818073 0.374929807949012 0.1 0.073 1 CARD9
0.00122594385950196 0.32288632692677 0.116 0.095 1 ZGPAT
0.0012929790826507 0.282726014067406 0.125 0.09 1 PCED1A
0.001309372427409 0.337083809889121 0.107 0.084 1 POLR2H
0.00133342951489281 0.361478493661906 0.107 0.087 1 PRR14
0.00135875505979457 0.44766600950556 0.11 0.082 1 TCEAL3
0.00139734755153973 0.260313988678073 0.163 0.141 1 MRPS18B
0.00141114263634434 0.288161937869069 0.179 0.137 1 TRAPPC3
0.00141576545067664 0.279229181754993 0.1 0.072 1 CBWD1
0.00156271945396254 0.256323995223677 0.261 0.215 1 METTL26
0.00157741775782106 0.321061123112494 0.239 0.195 1 PDAP1
0.00161767626766805 0.337088147904288 0.322 0.272 1 RPS19BP1
0.00164588540014255 0.422280422067745 0.108 0.071 1 AC012645.3
0.00168130866906109 0.541272467119872 0.125 0.09 1 RSAD1
0.00172373720130679 0.309399497886388 0.105 0.085 1 LINC02422
0.00192221679256783 0.323478481828016 0.156 0.125 1 VAV1
0.00207234655541154 0.280090796915513 0.113 0.091 1 DCTPP1
0.00216813300217539 0.440162301610442 0.117 0.088 1 MAPK3
0.00219297138736922 0.287234925047939 0.254 0.209 1 NUMA1
0.00222583609948959 0.376000663235305 0.192 0.155 1 PHB
0.00223071690339924 0.357617281182862 0.182 0.143 1 COPZ1
0.00242393888369561 0.288161205824757 0.133 0.104 1 ADA2
0.00242907467149555 0.388777925334665 0.145 0.11 1 RFXANK
0.00274999230811116 0.324005545338198 0.118 0.083 1 ZNF626
0.00290565347270758 0.407266795609946 0.146 0.116 1 LAMTOR2
0.00410548128422757 0.421814673488711 0.109 0.087 1 KLF8
0.00419438021479046 0.388995779510463 0.2 0.153 1 STOML2
0.00458695551433011 0.435688905774448 0.104 0.072 1 SLC25A11
0.00464338285979149 0.285152586774454 0.235 0.208 1 NCOA7
0.00473098478326553 0.33949908352829 0.112 0.075 1 LRIF1
0.00489321409641737 0.300704054171936 0.195 0.151 1 RPS6KB2
0.00491173441829981 0.316046847296039 0.144 0.103 1 MVP
0.00526055363467392 0.290299543695712 0.134 0.101 1 GANAB
0.00535025158680215 0.341682717593365 0.134 0.107 1 EDEM2
0.00543202937047182 0.294806079523473 0.128 0.098 1 TPD52L2
0.00557312705271736 0.262722251733648 0.267 0.219 1 CNR2
0.00577353537028674 0.293454004328364 0.122 0.1 1 CENPT
0.00579475587567654 0.383866070855323 0.131 0.105 1 OAS1
0.00630445488149146 0.299251934039829 0.147 0.115 1 HOTAIRM1
0.00655551671475667 0.433517814870059 0.184 0.137 1 AC246787.2
0.00691896565877444 0.310004375992252 0.116 0.086 1 FBXL15
0.00703542847995741 0.275903180450107 0.137 0.099 1 KRI1
0.00796795468095701 0.411088026308689 0.117 0.086 1 RASSF7
0.008145633724762 0.36048321528884 0.1 0.07 1 ZBTB48
0.00835555306552103 0.277455381773862 0.112 0.086 1 MRPL45
0.00874322027988398 0.410675001559463 0.1 0.077 1 HTATIP2
0.00981733377873108 0.328336919249953 0.165 0.125 1 TPP1
0.0102807375719398 0.304026875263981 0.12 0.086 1 BAIAP2L1
0.0104533062502922 0.262531489037472 0.105 0.084 1 ACYP1
0.0106088137645641 0.272334129552761 0.212 0.178 1 TTC1
0.0106978285421234 0.30574757802357 0.136 0.111 1 LINC00996
0.0117981533003877 0.259929497834959 0.105 0.077 1 SLC35F1
0.0121118747180174 0.328389509722952 0.109 0.076 1 HDAC4
0.0125337807512114 0.320623598172229 0.182 0.152 1 PPP1R11
0.012774972083632 0.281471849702108 0.125 0.096 1 C11orf98
0.0145756366113636 0.359900942027642 0.127 0.093 1 AK3
0.0149806754204793 0.341254092469758 0.138 0.108 1 OXLD1
0.0157232797051373 0.381975369985818 0.126 0.089 1 CDC26
0.0193467186632233 0.480413527259491 0.134 0.103 1 PLIN3
0.0196245912470455 0.312845225826326 0.152 0.118 1 C19orf25
0.0207673909045357 0.271124084805527 0.101 0.082 1 MED8
0.0214941413416935 0.354858687773972 0.161 0.131 1 RETREG2
0.0220301723786993 0.253532521731436 0.1 0.08 1 IL27RA
0.0247395965673319 0.403326165407256 0.126 0.101 1 CDK10
0.0256353131855364 0.370146786227943 0.146 0.118 1 VSIR
0.0283820361946019 0.31161650348246 0.106 0.08 1 CYTH2
0.0293029047808096 0.307448189327695 0.202 0.161 1 MRPL38
0.0327077506118403 0.285318742579375 0.136 0.106 1 SUCLG1
0.0335706208310663 0.270908745229349 0.173 0.137 1 DNAJB2
0.0362498704440788 0.262985868538257 0.109 0.081 1 IGSF8
0.0362743750741331 0.358987224083614 0.12 0.089 1 TPGS1
0.0400177895891231 0.314688733997059 0.119 0.099 1 CCDC144NL-AS1
0.0407897445962398 0.260239662359547 0.242 0.203 1 MRPL20
0.0463269419711394 0.330147380123382 0.127 0.107 1 BAD
0.0464410459447716 0.406175410988693 0.123 0.091 1 TYK2
0.0471914658517907 0.375035892904829 0.112 0.086 1 CYB5R1
0.0499457467654699 0.250657456607044 0.363 0.329 1 CXCR5
0.0559404121658938 0.265629067613334 0.112 0.086 1 CSPP1
0.0561318279977993 0.311799847725163 0.116 0.086 1 EXOSC1
0.0609587518313479 0.359132562436137 0.127 0.099 1 DMAC1
0.0614183564574561 0.25453559481764 0.106 0.082 1 AHCYL1
0.0637928255167178 0.326018548323387 0.13 0.112 1 TSTA3
0.088969051220546 0.250474100094196 0.111 0.093 1 HMG20A
0.104857672926355 0.253261284198531 0.163 0.141 1 E2F4
0.121176428304611 0.273255559900415 0.136 0.116 1 CTBS
0.126993108504412 0.325602629693582 0.139 0.11 1 OOEP
0.13243769727802 0.309882268703086 0.107 0.083 1 COX11
0.186085407138973 0.348947385091622 0.114 0.094 1 CTSA
0.197344411156819 0.280411922840019 0.1 0.079 1 DNAJC30
0.208610226855855 0.323131237359252 0.115 0.097 1 PLSCR1
0.257639511640865 0.363150198535798 0.114 0.092 1 LTBP3
0.261273885059674 0.252971276983766 0.157 0.134 1 PGGHG
0.272164906676604 0.253981768133285 0.121 0.103 1 HEIH
0.33336212788697 0.298992140552581 0.158 0.139 1 ID3
0.360526507719214 0.317267059832242 0.103 0.087 1 ME2
0.422228576891788 0.267189756847853 0.121 0.098 1 LYPLA2
0.603242657094122 0.254907582498258 0.118 0.096 1 TBC1D17
0.632526651203524 0.252320748675397 0.191 0.16 1 TCEA2
