Motifs	Average log2FC	Adjusted p-value	Cluster
NFKB1	0.300883647	7.8798E-272	C2
HES5	0.303836267	0.001165299	C5
TBR1	0.306807609	3.30164E-14	C3
NFYC	0.306818353	0.137468638	C5
HIF1A	0.307105088	0.746781761	C5
LMX1B	0.307158043	6.13787E-12	Not expanded
TBX19	0.307417766	0.068089253	Not expanded
NOTO	0.308387303	1	C3
ZNF143	0.308477338	4.45737E-17	C1
FOXF2	0.308554273	4.97188E-10	Not expanded
HEY1	0.308796532	0.000314528	C3
GSX1	0.309166595	0.000109013	C2
Lhx4	0.309683041	0.000245159	Not expanded
PRRX1	0.309683041	0.000245159	Not expanded
UNCX	0.309683041	0.000245159	Not expanded
Arx	0.31075519	0.033115337	Not expanded
ELK3	0.311901718	1.83069E-29	Not expanded
ATF6	0.313157351	1	C5
Arnt	0.313216428	0.045735448	Other expanded
ZBTB7B	0.314977752	1	Other expanded
Nkx3-2	0.315260463	4.84712E-11	Not expanded
SRY	0.315980312	8.74877E-33	C1
ZNF682	0.318438084	4.49671E-07	C3
VEZF1	0.31935539	0.00111506	C2
Smad4	0.320871182	0.446211585	Not expanded
E2F2	0.321753735	2.68477E-08	C1
NRL	0.322304411	6.58231E-15	C1
TBX4	0.322431476	2.63202E-51	Other expanded
ATF7	0.322711104	2.90937E-36	Other expanded
PAX3(var.2)	0.32281075	0.046337324	C2
TBX1	0.326250477	9.06895E-44	C2
ZNF382	0.327704628	1.61058E-08	Other expanded
SMAD5	0.33171117	0.004755554	Not expanded
LHX6	0.334082048	0.039294845	C2
CREM	0.334140332	0.000192833	Not expanded
MAX	0.334881912	5.0109E-08	C3
Isl1	0.335407121	0.228184969	C3
REST	0.335762698	4.456E-12	C1
ETS2	0.33873406	0.001018009	C4
ZNF449	0.339112498	0.00064305	Other expanded
TBX18	0.339831933	1	Not expanded
TP63	0.341395953	0.010422566	Not expanded
DUX4	0.343457551	6.28128E-12	Other expanded
SREBF2	0.343847962	0.576677634	C5
ELF3	0.345601168	1.4092E-130	C3
BACH2(var.2)	0.345863561	9.28198E-06	C3
VEZF1	0.346099949	0.000436534	Not expanded
NKX2-2	0.347298144	0.00188888	C5
ATF4	0.34799266	1.32443E-36	C2
CREB3L1	0.349211448	3.24613E-07	Other expanded
HOXB6	0.350651939	9.30818E-07	Not expanded
HOXC12	0.350693839	0.013883622	C3
PAX3	0.350770836	6.74541E-06	C1
NKX6-3	0.350834838	6.57779E-06	C1
GLIS1	0.351752648	0.038497416	C3
JUND(var.2)	0.35301945	1.08298E-07	C4
HOXD10	0.353469877	1	C3
MAX::MYC	0.354470356	9.66925E-06	Other expanded
ZIC5	0.354831017	1	Other expanded
TBX1	0.355738254	4.60709E-22	C3
ZSCAN29	0.356430285	2.47183E-08	Not expanded
ZNF24	0.356435942	0.000137486	C3
