Motifs	Average log2FC	Adjusted p-value	Cluster
SCRT1	0.609793906	7.78555E-13	C1
JUND(var.2)	0.609900316	8.62454E-87	Other expanded
TFAP2A	0.610837367	0.031420962	Not expanded
MAX::MYC	0.612609907	2.08974E-09	C2
ESRRB	0.613264931	0.002177122	C3
FOS::JUN(var.2)	0.613904702	1.3681E-05	C4
RXRG(var.2)	0.614010608	1	C5
MAFF	0.61401686	7.01607E-28	C2
Stat5a	0.615478649	3.51791E-11	Not expanded
ZBTB7C	0.615864018	9.80128E-33	C2
GLI2	0.616572113	8.52084E-33	Not expanded
NFATC3	0.617891963	1.53614E-23	Other expanded
HOXA1	0.619320774	1.60086E-43	C1
HOXA5	0.619320774	1.60086E-43	C1
HOXB5	0.619320774	1.60086E-43	C1
GBX1	0.621721772	4.69622E-08	C3
DUX4	0.621893055	0.993316655	C4
Dmrt1	0.622071212	1.71505E-24	C1
HLTF	0.622423763	2.76835E-24	Not expanded
CENPB	0.622551377	3.90127E-29	Not expanded
TFCP2	0.622958589	4.16494E-24	C2
GLI3	0.623606782	6.14715E-25	C2
TCF7L1	0.624420627	2.14579E-39	Not expanded
USF2	0.625793769	3.42178E-57	C1
Znf423	0.627820142	3.18641E-08	Other expanded
PAX5	0.627906565	3.44501E-23	C2
NKX2-2	0.628112179	0.265563544	C4
XBP1	0.628386518	1	C4
HOXB4	0.630125366	1.04988E-07	C1
PPARD	0.630590561	2.35142E-24	C1
CREB3L4(var.2)	0.631011961	1.25998E-50	Other expanded
ATF3	0.631295041	0.007577784	C5
NR4A2::RXRA	0.631377171	0.159760502	C3
ZNF354C	0.631805684	2.74319E-27	C2
GBX1	0.632520949	0.225984694	C4
ZBTB7B	0.633335643	4.0449E-20	C2
Smad4	0.636045709	0.027451228	C5
PRDM4	0.637199041	0.005877097	C5
BACH2(var.2)	0.638089582	1.31601E-22	Other expanded
Arx	0.638836231	5.22321E-11	C2
EBF3	0.638922103	4.61697E-12	C1
OVOL1	0.639501657	4.39681E-28	Not expanded
JUNB(var.2)	0.639764859	1	C5
ZNF317	0.64156707	0.000894791	C4
RARA::RXRG	0.641898901	1	C5
Foxf1	0.642378595	2.20685E-30	Not expanded
MEIS3	0.642868901	4.03077E-09	Not expanded
SP3	0.643526331	1.0554E-11	C3
INSM1	0.643932736	5.00739E-19	C3
TBX2	0.645388479	0.008475411	C4
Dlx4	0.645954808	2.04333E-17	Not expanded
LHX1	0.645954808	2.04333E-17	Not expanded
PROX1	0.646272938	3.85225E-13	C2
CREB3L4(var.2)	0.646912598	0.031006862	C5
BCL6	0.648636245	9.17422E-42	C1
Mlxip	0.648687099	1.86861E-24	C2
NR1I3	0.648698471	6.97904E-19	C2
RUNX1	0.65141247	0	Not expanded
TFEC	0.651943369	1.82021E-09	C2
ETV3	0.654773784	0.119189195	C5
ZKSCAN5	0.655736636	2.4935E-181	C2
HIC2	0.657079037	1.28165E-12	C2
ZIC5	0.657082345	1.06382E-16	Not expanded
FOSL2::JUN(var.2)	0.657323212	5.15103E-05	C4
ZNF384	0.657458904	6.15971E-28	Other expanded
EGR4	0.658525063	2.17648E-24	C2
ZBTB7A	0.658715972	5.45844E-13	Not expanded
FOSL1::JUN(var.2)	0.658894347	0.100817376	C4
FOSL2::JUNB(var.2)	0.660285622	0.000105276	C4
ATF4	0.660592749	1.626E-46	Other expanded
NR1D1	0.660631765	1	C5
SRF	0.661570219	2.75731E-17	C2
Rarb(var.2)	0.661731481	2.50272E-05	C3
HES1	0.662202602	0.019327334	C4
ZBTB33	0.662352655	1.41533E-33	Not expanded
NEUROG1	0.662484367	3.27565E-22	Not expanded
TFAP2B	0.665485671	6.6679E-06	Not expanded
NR2F1(var.3)	0.667500485	5.5861E-09	C3
RXRB(var.2)	0.667999626	0.001423197	C4
HES7	0.669815114	0.009908413	C4
HES2	0.670200379	6.09946E-17	Other expanded
KLF17	0.67046735	1.6825E-41	Not expanded
ZBTB12	0.670837024	6.57147E-20	Not expanded
HES1	0.671303963	1	C5
HIF1A	0.672020156	5.77163E-14	Other expanded
SP8	0.672697786	1.25358E-08	C3
TFDP1	0.673056514	1	Not expanded
TFAP2E	0.674976265	9.94328E-15	Other expanded
CREM	0.67510131	2.32102E-60	C2
MSX1	0.675942289	6.26301E-35	C1
MSX2	0.675942289	6.26301E-35	C1
Msx3	0.675942289	6.26301E-35	C1
BSX	0.675942289	6.26301E-35	C1
CREB3L4(var.2)	0.677030304	2.17116E-30	C3
PBX3	0.677040791	3.59816E-11	C3
Stat5a::Stat5b	0.677731015	7.3167E-09	Not expanded
SP1	0.67836238	2.95666E-28	C3
Foxo1	0.679102719	1.8238E-107	Not expanded
TBXT	0.679147905	2.21112E-13	C3
TEAD3	0.680587836	2.0008E-32	C1
PLAG1	0.680884551	4.93523E-12	Other expanded
ESX1	0.682508415	5.08146E-07	C3
NR2C1	0.682573333	1.20415E-23	Not expanded
EGR1	0.685296526	6.33718E-29	Other expanded
PLAG1	0.68579294	4.48926E-26	C2
TCFL5	0.686900333	2.13978E-19	C2
MSANTD3	0.687104878	1	C4
HOXC12	0.687233348	1.95132E-19	Other expanded
GMEB2	0.688086379	0.008086162	C5
NR2F2	0.688148832	1.42659E-11	Other expanded
MGA	0.688997059	2.83405E-87	Other expanded
TBX15	0.688997059	2.83405E-87	Other expanded
ISL2	0.689230391	2.88372E-42	C1
ARNT::HIF1A	0.689867016	6.68273E-26	Not expanded
Gfi1b	0.690079197	6.66957E-21	C2
RFX5	0.690192956	1.0028E-227	Not expanded
FOSL2::JUN(var.2)	0.690812577	2.92461E-77	C2
ZBTB7C	0.691910846	4.03615E-15	Other expanded
PLAG1	0.692394004	1.97839E-05	C3
MAX	0.695644481	1.65478E-05	C5
ZNF75D	0.697069249	3.10166E-43	Not expanded
SP1	0.697608456	3.38419E-44	Other expanded
USF1	0.697843025	5.44106E-53	C1
ETV1	0.698145391	0	Not expanded
TBX5	0.698561192	0.086493774	C1
CREB3L4(var.2)	0.699513117	0.65548806	Not expanded
ATF7	0.699844625	2.03852E-65	C2
NKX2-5	0.70062937	1	C4
FOSL2::JUN(var.2)	0.701721212	6.2682E-62	Other expanded
XBP1	0.704306437	3.2521E-21	C3
VSX1	0.704336586	5.4385E-12	C2
SP2	0.704594302	2.78558E-30	C2
FOSL1::JUND(var.2)	0.704842657	3.45955E-10	C3
GABPA	0.706487715	2.256E-206	Other expanded
EMX2	0.707058084	4.53026E-05	C2
ZBTB7A	0.707237761	7.0768E-05	C3
CDX4	0.708548385	3.18073E-12	Other expanded
JUN	0.710130133	2.06733E-11	C4
FOSL2::JUND(var.2)	0.710753275	0.019262231	C5
BARHL2	0.710948618	1.07563E-09	C2
KLF16	0.711055668	2.59496E-44	C2
JUN::JUNB(var.2)	0.712070623	5.32964E-21	C3
ESRRB	0.712859442	1.1226E-10	Other expanded
ATF2	0.71290515	4.81345E-08	C4
NFIB	0.715636946	1.28415E-68	C1
SP8	0.715739684	5.85163E-05	C4
EGR1	0.715872228	0.011820029	C4
KLF15	0.715945688	0.031201425	C4
GLI3	0.718049929	2.9102E-38	Not expanded
ATF4	0.718234979	1.48945E-27	C3
NFIX(var.2)	0.71899888	2.7638E-129	C1
NR1I3	0.719540778	0.052822874	C4
Foxf1	0.720113301	4.2312E-118	C1
NR1D1	0.721246825	9.71713E-29	C2
Rarg	0.724919253	2.54923E-55	Other expanded
EGR2	0.725721539	7.08973E-44	Other expanded
Crx	0.726867292	7.07616E-40	C1
BHLHE22	0.726885374	2.11723E-18	Not expanded
Dlx3	0.727236282	2.10007E-42	C1
EBF3	0.728417845	3.46971E-24	Other expanded
HOXD9	0.728446706	5.3417E-30	Not expanded
TBX4	0.729226344	7.29589E-08	C5
PRDM1	0.734773213	0.000182294	C4
FOSB::JUN	0.735929219	8.95494E-64	C2
JDP2(var.2)	0.735984781	1.35041E-80	C2
HOXA4	0.737466684	3.26227E-20	C2
Hand1::Tcf3	0.740489935	0.011696612	C4
TBX3	0.741108277	3.95964E-80	C2
CREB1	0.741302997	5.27501E-15	C4
CREB3L4(var.2)	0.741382929	6.55177E-05	C4
SOX21	0.742618592	1.43428E-26	Not expanded
ZNF140	0.743660795	3.51333E-53	C1
NFATC1	0.745913607	1.16222E-21	Other expanded
TEAD4	0.746259542	2.56923E-46	C1
ETV6	0.747368194	1.9644E-104	C3
TBX6	0.747959642	1.17782E-76	C2
BHLHE40	0.750802875	1.09666E-19	C2
Plagl1	0.750876666	5.83804E-27	Other expanded
SP3	0.751197307	8.64513E-37	Other expanded
OLIG1	0.751666194	7.9495E-28	Not expanded
FOSL1::JUN(var.2)	0.752313818	1	C5
Zfx	0.752738372	3.09699E-12	Other expanded
RARB(var.3)	0.755031494	3.43316E-29	C2
EMX2	0.755586196	1.12609E-07	C3
MAFK	0.755614385	8.76273E-11	C1
KLF5	0.761028197	0.650659522	C4
RFX1	0.761318303	1.21735E-58	Other expanded
PKNOX1	0.76156865	7.59269E-31	Other expanded
ARNT::HIF1A	0.762011303	1.49684E-15	C3
GBX1	0.762331659	2.90177E-20	C2
SRY	0.762801882	4.11441E-22	Not expanded
ELF1	0.763461553	3.4716E-126	C3
Mafb	0.764187007	1.40725E-14	Other expanded
PBX3	0.76496161	1.09866E-32	Other expanded
SRF	0.765046781	6.28136E-22	Other expanded
PROP1	0.76636986	3.94702E-49	C1
HOXA9	0.767894877	8.29371E-43	Not expanded
FOSL1::JUND(var.2)	0.768040288	7.37405E-47	C2
ZBTB7A	0.768483615	2.87327E-18	C2
KLF13	0.769269477	6.64168E-78	C2
PLAGL2	0.769628973	4.76866E-09	Not expanded
KLF11	0.771181897	1.82679E-45	Other expanded
HIF1A	0.773196485	2.3197E-14	C3
IRF1	0.77493395	8.13378E-16	C4
NKX2-2	0.775154488	3.98867E-41	C2
CREB3L4(var.2)	0.77518074	4.26642E-55	C2
ELF3	0.775469831	6.19004E-23	C4
FOSB::JUNB(var.2)	0.775662342	6.37907E-66	C2
GLI3	0.775857567	2.67652E-39	Other expanded
PKNOX1	0.776397514	9.35651E-14	C3
RARA(var.2)	0.776774795	2.82569E-18	Not expanded
RARB(var.3)	0.777736503	7.46231E-24	Other expanded
Ahr::Arnt	0.778270529	1.04942E-42	Not expanded
HSF4	0.778390355	3.607E-51	C1
THRB(var.3)	0.778894408	0.007699728	C5
ZFP57	0.77994272	1.08179E-50	Not expanded
NR2F2	0.780279931	1.1356E-13	C3
Isl1	0.780580434	1.93337E-24	Not expanded
ELK4	0.780815653	7.76912E-78	Not expanded
NR1H2::RXRA	0.78253289	1.05167E-47	C1
SNAI1	0.783404706	1.32299E-84	C1
PPARG	0.783521436	3.20144E-38	Not expanded
Ahr::Arnt	0.783837946	6.50732E-15	C3
NR1I2	0.784116531	3.46076E-06	C3
RARA::RXRA	0.785236654	9.54333E-08	C3
ZNF740	0.785243097	2.1951E-26	C2
ZKSCAN5	0.786364204	4.6704E-199	Other expanded
TBX1	0.786627066	9.66666E-09	C5
ESR2	0.786921795	1	C4
EWSR1-FLI1	0.787661424	7.4865E-230	Not expanded
SHOX	0.789798874	3.37207E-48	C1
ISX	0.789798874	3.37207E-48	C1
RAX2	0.789798874	3.37207E-48	C1
Shox2	0.789798874	3.37207E-48	C1
CREM	0.789987858	2.73617E-68	Other expanded
EGR2	0.790406045	0.002174388	C4
NKX2-2	0.791654688	1.66687E-70	Not expanded
FOSL2::JUND(var.2)	0.791859795	1.6814E-100	Other expanded
MAFF	0.791938339	2.15195E-16	C3
RFX1	0.79311222	2.471E-262	Not expanded
SREBF1(var.2)	0.794025245	0.007656528	C5
Creb5	0.794058081	4.19589E-84	C2
PHOX2B	0.794536521	1.52476E-42	C1
OTX2	0.795647991	2.49235E-49	C1
Creb5	0.795661641	0.000163293	C4
TEAD1	0.796146263	1.92946E-39	C1
FOXG1	0.796347812	3.08535E-40	Not expanded
Foxj2	0.796347812	3.08535E-40	Not expanded
ELK1	0.796956318	0.020491407	C5
TBX20	0.796998329	0.049052216	C4
IRF1	0.797322682	1.17054E-97	C3
BHLHE23	0.798843642	2.71947E-23	Not expanded
VDR	0.799137065	1.35323E-17	C2
TBX18	0.799169751	4.44589E-55	C3
ATF3	0.800161013	5.97002E-98	C2
ZBTB7A	0.801455427	0.000833965	C4
ZNF317	0.803924789	1.208E-77	Other expanded
GFI1	0.80916656	0.01696721	C5
KLF13	0.80959651	0.284676572	C5
Rarg(var.2)	0.81255687	0.029194448	C5
PITX1	0.813603579	2.07184E-50	C1
ZFP57	0.815001592	1	C5
RREB1	0.815269506	7.39239E-40	Other expanded
CREM	0.81699223	5.94065E-31	C3
MEIS1(var.2)	0.817856836	1.43461E-54	C1
TFAP2C(var.2)	0.818240824	0.02476604	C5
HOXD4	0.818716392	7.21464E-21	C1
POU6F1(var.2)	0.819310131	2.48407E-20	C2
RUNX3	0.821095649	1.04093E-48	Other expanded
NR1D1	0.822467713	4.44236E-22	C3
Esrrg	0.823698212	0.0001082	C5
FOS::JUN(var.2)	0.824820217	5.00017E-72	C2
ESR1	0.825439567	5.31306E-49	Other expanded
Arnt	0.826150336	7.93703E-48	C2
SP4	0.826572941	2.5784E-05	C4
ZNF384	0.826683788	1.81972E-20	C3
Rarg	0.827311825	5.47259E-41	C3
TFAP2C(var.3)	0.828097364	0.075257925	Other expanded
RARA::RXRG	0.828489622	2.03307E-37	Not expanded
FOSL2::JUND(var.2)	0.828802159	2.01239E-09	C4
MAX::MYC	0.8293333	0.099966711	C5
FOXF2	0.829347322	1.7041E-96	C1
NR1H4	0.830699961	2.99586E-11	C3
SP3	0.83147261	5.71212E-05	C4
TBXT	0.832927681	4.10693E-25	Other expanded
SOHLH2	0.83321891	7.14411E-75	C2
THRB(var.3)	0.833325998	5.86806E-58	C2
EHF	0.835225669	1.39785E-24	C4
ZKSCAN5	0.837744391	2.4045E-16	C4
SMAD2::SMAD3::SMAD4	0.838908988	0.105149332	C5
ZNF317	0.839966652	2.0339E-32	C3
Mafb	0.840391167	2.58393E-10	C3
SIX2	0.842480047	2.1763E-17	Not expanded
Atf1	0.843668419	9.06215E-13	Other expanded
Foxd3	0.844907833	1.25946E-43	Not expanded
HOXA7	0.845509992	4.62665E-63	C1
HOXB8	0.845509992	4.62665E-63	C1
HOXD8	0.845509992	4.62665E-63	C1
GCM1	0.848251943	2.37159E-41	C1
KLF5	0.850004946	1.37424E-50	C2
Ddit3::Cebpa	0.850320523	2.018E-17	C3
KLF3	0.85154208	7.1916E-40	Not expanded
HOXC4	0.854307604	4.61468E-09	C1
RELA	0.85603059	5.92573E-98	C2
NR1H4	0.856206893	0.337243309	C5
NR4A2	0.856900351	2.6761E-56	Not expanded
NR2F1	0.85694066	6.7048E-07	C5
MEF2A	0.857157532	1.79267E-06	C5
ESR1	0.858784993	7.53459E-38	C3
MNT	0.85879775	4.8754E-32	C2
Zfx	0.861091899	1	C4
GLI2	0.861499674	1.35383E-39	Other expanded
MEF2C	0.86195443	0.003166805	C5
NFIC(var.2)	0.865581677	5.4843E-119	C1
RAX	0.867887415	4.23731E-41	C2
TFAP2B(var.2)	0.87048402	1.47142E-33	Not expanded
ONECUT1	0.87131281	2.11146E-55	C1
FOS::JUN(var.2)	0.87145399	1.50428E-32	C3
Atoh1	0.872127416	3.61398E-22	Not expanded
RORB	0.872154164	5.89292E-18	C3
Sox1	0.872882329	4.3503E-47	Not expanded
FOXB1	0.87480322	1.01781E-52	C1
THRB(var.3)	0.876669703	0.011366195	C4
Dlx2	0.876975932	1.11497E-42	C1
Zfx	0.877270168	4.65756E-11	C3
MAX	0.878296169	5.09289E-31	C2
JDP2(var.2)	0.879093988	6.51419E-07	C4
ATF2	0.880999433	4.9149E-117	Other expanded
EGR3	0.881569607	7.72966E-05	C5
XBP1	0.883706301	9.67211E-51	Other expanded
HOXC12	0.884948399	0.006454265	C4
NR1D1	0.884988521	5.3912E-24	Other expanded
NR2F1(var.2)	0.885035698	1.267E-52	C1
GATA1	0.888507081	2.99843E-57	Not expanded
KLF13	0.888853508	1.44501E-31	C3
GABPA	0.888880654	4.13446E-24	C4
SP4	0.889380199	4.6017E-111	C2
PBX3	0.889487648	1.39089E-54	C2
Ahr::Arnt	0.889933122	8.47715E-42	C2
NR2C1	0.890132486	2.60584E-14	C3
Hand1::Tcf3	0.890553964	0.036764371	C5
CDX1	0.890970274	9.02012E-47	Not expanded
Rxra	0.891524025	3.16733E-51	C1
SIX1	0.892390025	0.050272197	C5
Rarb	0.892517283	5.32175E-74	Other expanded
FOSL2::JUND(var.2)	0.893087572	3.4778E-114	C2
SP8	0.894320605	3.99232E-42	Other expanded
ZSCAN4	0.896561481	5.74537E-47	C2
Spz1	0.897346031	4.57558E-37	Not expanded
JUND(var.2)	0.897532774	2.32525E-57	C3
Klf12	0.899898564	1.66633E-06	C5
FOSL2::JUNB(var.2)	0.900759007	1.40028E-37	C3
GMEB2	0.900814747	0.03378389	C4
NR2F1	0.90153747	2.42519E-69	Other expanded
ZNF274	0.908194937	1.27545E-55	Not expanded
HIF1A	0.90975641	1.39873E-31	C2
Nr2e1	0.910144777	1.11749E-41	Not expanded
ZNF136	0.910183881	8.79219E-46	C2
Rarg(var.2)	0.911262436	0.001510535	C4
HESX1	0.911692995	1	C4
ESR2	0.914031722	2.6045E-27	Other expanded
HOXB13	0.915410577	4.18552E-68	Not expanded
ARNT::HIF1A	0.916336579	1.79246E-35	C2
Nr2f6(var.2)	0.917832388	7.7243E-113	Other expanded
TFEB	0.918731137	4.49797E-98	C1
INSM1	0.919089474	1.70909E-49	Other expanded
Hand1::Tcf3	0.920089779	1.88112E-14	C3
HOXD11	0.920196026	4.76822E-49	Not expanded
ZIC5	0.921307174	1	C4
ZNF135	0.921917283	9.20061E-96	Other expanded
ESRRA	0.922087963	2.77073E-25	Other expanded
DBP	0.925040062	1.98713E-28	Not expanded
TBP	0.925811326	2.10548E-86	C1
FOSL2::JUNB(var.2)	0.92795598	3.92102E-93	C2
MYC	0.928728081	1.55809E-39	C2
GBX1	0.928794449	1	C5
DMRTC2	0.928990305	1.12502E-51	Not expanded
PKNOX1	0.930358112	1.66323E-60	C2
JUND(var.2)	0.930477342	1.0107E-109	C2
ZBTB7A	0.93117305	3.30362E-06	C5
NR1H4::RXRA	0.932543903	2.67913E-50	Not expanded
Ahr::Arnt	0.936897348	1.40398E-39	Other expanded
Mecom	0.936928496	3.29014E-65	Not expanded
Rarg	0.938305351	2.45098E-08	C5
PLAG1	0.938924694	1.48365E-54	Not expanded
KLF11	0.93917018	1.29064E-07	C4
RARG(var.3)	0.940763131	1.30516E-56	C2
Foxj3	0.940852869	2.37196E-96	C1
HNF4A	0.941710988	8.97703E-29	Not expanded
ESRRA	0.942918705	1.10156E-16	C3
ATF2	0.946951433	6.38553E-66	C3
Klf12	0.947789065	1.5312E-186	C2
RORB	0.947870721	2.68648E-90	Not expanded
ZNF135	0.948450928	7.45517E-64	C3
MYBL1	0.949354105	4.92523E-47	Not expanded
KLF14	0.951683381	3.322E-102	C2
ATF4	0.954118465	0.000597563	C5
EGR2	0.954590674	9.91917E-08	C5
CREB1	0.954603999	6.50525E-78	C3
JUNB(var.2)	0.956131195	0.002544143	C4
Gfi1b	0.956170063	1.17753E-20	C3
FOXP2	0.958362827	9.0147E-208	C1
HINFP	0.958715594	2.13003E-71	Not expanded
Znf281	0.959062456	6.43735E-55	Not expanded
Sox17	0.961144006	6.18799E-55	Not expanded
Nr1h3::Rxra	0.961503808	0.120902154	C4
NR1I3	0.96159032	9.06879E-16	C3
ESR2	0.961967875	1.7168E-23	C3
SREBF1(var.2)	0.962774651	2.33514E-58	C2
KLF13	0.963690543	2.97857E-10	C4
KLF13	0.964232041	4.55433E-71	Other expanded
ZNF740	0.97061574	5.44312E-81	Not expanded
GLI3	0.971182281	0.11069739	C4
KLF4	0.971631322	3.26568E-15	C3
ETV6	0.971941516	1.36672E-18	C4
ESR1	0.972003407	1.01046E-08	C5
FOSL2::JUN(var.2)	0.972802892	1	C5
EGR1	0.974785605	1.62963E-74	C2
KLF14	0.975019892	1.34886E-06	C4
Esrrg	0.977718288	8.53604E-18	C3
KLF4	0.977826558	1.50997E-05	C4
CREB1	0.978200374	2.1668E-122	C2
FOXE1	0.978662517	1.95883E-53	Not expanded
ZBTB14	0.979078967	0.026714278	C5
HES1	0.982649398	1.67015E-84	Not expanded
TBX3	0.983110471	1.53657E-06	C5
Ptf1a	0.983150819	1.49298E-56	Not expanded
Dmbx1	0.985908932	2.50458E-66	C1
ERF	0.98620165	5.281E-116	Not expanded
Creb5	0.987323369	0.006421568	Not expanded
IRF4	0.987895971	5.29172E-26	C5
TFAP2C(var.2)	0.988249607	0.035168186	C4
Creb5	0.990123967	4.79936E-31	C3
RHOXF1	0.992521359	1.28857E-97	C1
CENPB	0.99363492	0.014724195	C5
DMRTA2	0.993960555	4.30275E-54	Not expanded
TFE3	0.994717254	2.2517E-131	C1
Esrrg	0.996372593	9.5066E-27	Other expanded
BARX1	0.996906194	5.69362E-58	C1
DUX4	0.997338944	2.62354E-46	C2
ZSCAN29	1.000839884	0.901647856	C5
PBX2	1.001674716	3.30056E-91	C1
ZNF382	1.002669388	1.4868E-99	Not expanded
KLF10	1.0031016	0.049345223	C5
TBX5	1.005265506	8.43427E-10	C5
Klf12	1.006121317	1.3668E-129	Not expanded
KLF9	1.007355467	3.9302E-203	Not expanded
EGR1	1.010687329	0.000292216	C5
E2F3	1.013379341	4.51682E-48	C1
HES7	1.014381056	3.85846E-97	C2
CDX4	1.015638094	1.89023E-71	Not expanded
FOSL1::JUN(var.2)	1.015678949	3.22383E-18	C3
MYCN	1.017086004	1.56605E-05	C5
ZNF460	1.017133731	2.56083E-05	C4
NR1I3	1.019248163	1.54167E-31	Other expanded
TBX18	1.019698782	2.599E-111	Other expanded
POU4F2	1.0220394	6.5037E-89	C1
HES1	1.022287415	6.71623E-69	C2
Dux	1.022967589	1.33235E-51	Not expanded
FOXN3	1.0237305	5.0769E-108	C1
mix-a	1.024478974	3.35647E-69	C1
NFATC4	1.025295484	1.96877E-43	Other expanded
EBF1	1.026644083	2.92953E-15	Other expanded
MITF	1.030444745	5.0202E-125	C1
CREB1	1.031305196	3.5567E-145	Other expanded
BACH2(var.2)	1.032181134	1.06603E-05	C4
EGR2	1.033583705	8.15951E-65	C2
Nr1h3::Rxra	1.033660234	3.42394E-70	Other expanded
EGR3	1.035193634	8.86163E-55	C2
TBX18	1.035946278	4.1406E-109	C2
FOSB::JUN	1.035979091	2.28777E-26	C3
KLF11	1.037223118	3.7718E-119	C2
FOXK1	1.038761647	1.8403E-169	C1
HES7	1.043699766	1.81288E-71	Other expanded
GLI2	1.04472977	0.178190726	C4
HINFP	1.044807956	0.308603079	C5
ZSCAN4	1.044926439	1.44872E-22	C3
Stat6	1.045985637	3.5525E-112	Not expanded
DUXA	1.047155418	1.10937E-44	C2
ZIC5	1.047200793	0.567043703	C5
MEF2C	1.048285302	3.45513E-51	C2
KLF4	1.049904413	0.308168273	C5
EBF1	1.052150063	1	C4
HEY2	1.052511428	2.9006E-45	C2
ZNF341	1.053069309	4.25398E-70	Not expanded
ELF4	1.054201291	2.53376E-05	C4
SREBF1	1.055594552	3.83982E-07	C4
TCF7	1.059080609	0	Not expanded
TEAD2	1.060276124	8.53968E-75	C1
HES5	1.061017498	9.94367E-73	Other expanded
HES5	1.062050812	8.74519E-45	C3
TWIST1	1.062691111	4.8241E-56	Not expanded
GRHL2	1.063305492	7.13338E-77	C1
FOSL2::JUN(var.2)	1.063657562	1.70615E-35	C3
RARG(var.3)	1.064022002	8.81216E-40	Other expanded
SP1	1.064883444	5.66571E-09	C4
Bhlha15	1.064939247	1.64071E-18	Not expanded
Rarb	1.065134529	9.2299E-54	C3
ZKSCAN5	1.066031314	1.772E-111	C3
SREBF2	1.069830018	2.62515E-07	C4
HES2	1.070793989	1.3672E-56	C2
Ddit3::Cebpa	1.071818753	2.75135E-54	C2
GMEB2	1.07364997	1.27538E-64	Not expanded
IRF7	1.074013584	6.08113E-14	C5
IRF1	1.074143298	8.4925E-198	Other expanded
THRB(var.3)	1.07571578	7.21125E-76	Other expanded
Rarb	1.077563207	6.1688E-10	C5
FOSL2::JUNB(var.2)	1.078023855	0.139164159	C5
TFAP2A(var.2)	1.080846784	7.03716E-36	Not expanded
MGA	1.081002856	5.32182E-09	C5
TBX15	1.081002856	5.32182E-09	C5
Wt1	1.082314694	4.5042E-109	Not expanded
Stat4	1.082560602	1	C5
MZF1	1.082783779	6.467E-69	C2
NKX2-2	1.083214485	2.93175E-29	C3
ESR1	1.083402633	3.56172E-81	C2
KLF4	1.085439125	2.16655E-44	Other expanded
Stat5b	1.087476446	9.64869E-45	Not expanded
REL	1.088172569	2.16263E-13	C5
HEY1	1.090801474	3.09432E-76	C2
SMAD2::SMAD3::SMAD4	1.093520571	2.4292E-12	C4
LEF1	1.095711384	8.952E-154	Not expanded
Ebf2	1.096417078	7.22704E-11	C1
RARG(var.3)	1.09942212	6.19161E-27	C3
NEUROD2	1.100860276	1.0823E-31	Not expanded
NKX2-2	1.101305812	1.62264E-67	Other expanded
ZIC1	1.102027577	5.65278E-52	Not expanded
TBXT	1.10293925	9.97417E-05	C4
INSM1	1.10376404	1.42695E-05	C4
JUN::JUNB	1.10459037	2.95529E-57	C1
RARA	1.10461775	4.2947E-131	C2
SOX18	1.109021631	5.571E-35	Not expanded
Nr1h3::Rxra	1.110751431	0.000110192	C5
ZBTB26	1.111118322	5.00379E-76	C1
JUN	1.112013597	4.8062E-153	Other expanded
HES6	1.116584989	7.39932E-84	C2
TBX6	1.118410119	2.33569E-10	C5
ZSCAN29	1.119798072	0.005966739	C4
SP2	1.120531676	7.81477E-30	Not expanded
SP3	1.123241687	2.5606E-139	C2
FOSL2::JUND(var.2)	1.125399205	1.30272E-56	C3
HSF1	1.125414186	1.5269E-94	C1
ETV5	1.132457351	0	Not expanded
ELF4	1.135064904	1.50161E-05	C5
TFAP2A(var.3)	1.135261296	3.84749E-58	Not expanded
DUXA	1.139833822	0.181753202	C4
Foxl2	1.139938412	1.1707E-122	C1
VENTX	1.141111546	1	C5
THAP1	1.146157014	1.05682E-21	Not expanded
Ahr::Arnt	1.14637329	6.7792E-06	C4
HES7	1.148541288	1.80524E-39	C3
ZNF684	1.151384511	2.57641E-76	Not expanded
SCRT2	1.153629621	6.97168E-54	Not expanded
HOXA10	1.153689598	3.60327E-82	Not expanded
HNF4G	1.155275817	5.12894E-43	Not expanded
TFAP2C(var.2)	1.158115155	2.02023E-56	Other expanded
Rarg(var.2)	1.163016493	4.58245E-73	Other expanded
Nr1h3::Rxra	1.165022294	3.99405E-41	C3
RARA	1.168776848	4.21664E-62	C3
ETV2	1.169726267	8.5427E-99	C1
ZNF449	1.171467486	4.25958E-69	Not expanded
ZNF16	1.173134949	5.22058E-57	Not expanded
RFX2	1.173532507	3.1523E-263	Not expanded
KLF10	1.174083383	4.75892E-44	C3
CUX1	1.176872464	3.8198E-104	C1
RXRB(var.2)	1.177307514	1.3824E-70	Other expanded
ELF1	1.17823903	4.27874E-26	C4
GSC2	1.178268527	7.0052E-102	C1
SREBF2	1.181767712	3.32984E-96	Other expanded
Nr2f6(var.2)	1.182445194	1.13737E-95	C3
KLF10	1.189412185	3.3274E-162	C2
CENPB	1.190742138	0.047097458	C4
NR2F1	1.191291269	2.87891E-71	C3
GLIS2	1.192340209	1	C5
ZSCAN4	1.193101577	1.26904E-79	Other expanded
SREBF1	1.193116445	7.4527E-150	Other expanded
Nr1h3::Rxra	1.194233583	5.57347E-88	C2
RARA	1.195180734	3.77861E-08	C5
JUN	1.19753857	1.92782E-86	C3
RFX3	1.200546524	4.7396E-300	Not expanded
KLF10	1.201045929	1.9464E-123	Other expanded
